Country,Commodity,Port,Warehouse,Camp,Optimized Quantity (tons),Total Cost,Total Cost ($)
TURKEY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,294.87305851694265,608.7842336,179514.06893852487
HUNGARY,WHEAT,BERBERA (SOMALIA),<JIJIGA>,KEBRIBAYA,386.752844593333,461.9030885,178642.33340382105
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,KOBE,349.65998694550683,508.7965896,177905.8088774544
ITALY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,185.70453641927585,924.7959049,171738.7948018992
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,BOKLOMAYO,334.50754089596603,500.3303088,167364.26123240733
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,MELKEDIDA,322.07832032213634,519.0754019,167182.93356448985
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,KULE,314.13335820301995,521.8423873,163928.10157523
HUNGARY,WHEAT,BERBERA (SOMALIA),<JIJIGA>,AW-BARRE,337.63112186141495,483.5893492,163274.81449062756
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,Gambella,326.5085888923543,487.87035,159293.859540919
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,KULE,321.45863212555156,481.3061903,154720.02956739842
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,SHERKOLE,271.7178339773876,539.6242611,146625.53538774027
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,MELKEDIDA,301.40321397671744,478.5392049,144233.25437072295
HUNGARY,WHEAT,BERBERA (SOMALIA),<JIJIGA>,SHEDER,300.1638374428678,465.1626758,139625.01380332062
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,SHERKOLE,268.165420445329,504.1755528,135202.44909486818
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,Benshangul,230.4264331684615,534.9084083,123257.03659638808
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,BOKLOMAYO,254.56349092425248,459.7941118,117046.79420622403
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,BAMBASI,211.8260598470697,535.7843014,113493.07749347683
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,Benshangul,222.52560124788312,499.4597,111142.57004158733
INDONESIA,VEGETABLE OIL,DJIBOUTI (DJIBOUTI),<NAZARETH>,PUGNIDO,101.9227670466864,1086.116387,110699.9874977897
INDIA,SORGHUM/MILLET,DJIBOUTI (DJIBOUTI),<NAZARETH>,AYSAITA,290.46926051415454,370.4215887,107596.08494816729
BELGIUM,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Oromiya,89.23714873521376,1198.532224,106953.59833703455
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,KOBE,228.4008072456691,468.2603926,106951.05167101393
SOUTH AFRICA,CORN SOYA BLEND,BERBERA (SOMALIA),<JIJIGA>,KEBRIBAYA,142.15870941961919,747.8530561,106313.82529069406
UKRAINE,SPLIT PEAS,DJIBOUTI (DJIBOUTI),<MEKELE>,MAI-AINI,184.71742246809887,572.7483282,105796.59490801673
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,BAMBASI,210.68750042845716,500.3355931,105414.45548562861
SOUTH AFRICA,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,PUGNIDO,131.6333431482845,797.4890242,104976.14637950915
INDONESIA,VEGETABLE OIL,DJIBOUTI (DJIBOUTI),<NAZARETH>,TERKIEDI,93.65591442736549,1100.124187,103033.13671714702
BELGIUM,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,SHERKOLE,82.93880453645401,1224.158217,101530.21908145705
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<MEKELE>,BERHALE,212.2610301550112,478.2128935,101505.96140771867
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,HALEWEYIN,213.0477388860999,472.6214897,100690.93972956514
SOUTH AFRICA,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,TERKIEDI,119.2182049099867,811.4968249,96745.1947547318
BELGIUM,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,Benshangul,78.55378284193257,1219.442364,95791.81064990889
SOUTH AFRICA,CORN SOYA BLEND,BERBERA (SOMALIA),<JIJIGA>,AW-BARRE,124.10139688431255,769.5393168,95500.90417227954
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,192.98780683077342,491.191,94793.87382501442
BELGIUM,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<MEKELE>,BERHALE,78.73573921075469,1198.195557,94340.81289943695
BELGIUM,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,BURAMINO,73.9492334436683,1252.009752,92585.16142439726
HUNGARY,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,JEWII,171.23557774085944,537.3723319,92017.26171484936
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Afar,218.8105614912083,417.756443,91409.52185939995
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,TONGO,166.53122372624753,544.2543568,90635.34405624574
SOUTH AFRICA,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Tigray,124.67052810544101,711.6546976,88722.36697850992
BELGIUM,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<NAZARETH>,HALEWEYIN,71.09840296182203,1233.140351,87674.30958388066
