Commodity,Country,Procurement Price,Port,SeaTransport Price,Warehouse,Port to Warehouse Price,Camp,Warehouse to Camp Price,Port Handling Cost,Warehouse Handling Cost,Total Cost
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<DIRE DAWA>,51.72156,Oromiya,44.1,23.45,15.566,1361.349443
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<DIRE DAWA>,51.72156,Somali,65.96577472,23.45,15.566,1383.215218
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<JIJIGA>,56.127,Somali,75.01248242,16,13.77048,1324.421845
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<JIJIGA>,56.127,KEBRIBAYA,9.293608455,16,13.77048,1258.702971
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<JIJIGA>,56.127,AW-BARRE,30.97986915,16,13.77048,1280.389232
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<JIJIGA>,56.127,SHEDER,12.55319577,16,13.77048,1261.962559
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,Afar,88.4616,16,11.71432,1381.812803
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,Amhara,50.713,16,11.71432,1344.064203
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,Benshangul,58.3692,16,11.71432,1351.720403
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,Gambella,46.77985,16,11.71432,1340.131053
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,Oromiya,63.8685,16,11.71432,1357.219703
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,SNNPR,50.1005,16,11.71432,1343.451703
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,Somali,102.1260884,16,11.71432,1395.477291
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,Tigray,29.34096585,16,11.71432,1322.692169
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,BOKLOMAYO,59.23980876,16,11.71432,1352.591012
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,MELKEDIDA,77.98490186,16,11.71432,1371.336105
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,KOBE,67.70608958,16,11.71432,1361.057293
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,HALEWEYIN,72.06718671,16,11.71432,1365.41839
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,BURAMINO,90.93658782,16,11.71432,1384.287791
RICE,AUSTRALIA,931.511883,BERBERA (SOMALIA),232,<NAZARETH>,102.125,TONGO,67.71514847,16,11.71432,1361.066351
